# ------------------------------
# XFoil Interface for Python
# ------------------------------
# 
# Airfoil,naca0018
# Reynolds number,120000
# Ncrit,9.0
# Mach,0.0
# n_node,250
# max_iter, 300
# ------------------------------
# alpha_deg, cl, cd, cm, cpmin, top_xtr, bot_xtr
-2.999999999999989342e-01 -3.466132283210754395e-02 1.711382530629634857e-02 -1.026963698677718639e-03 -6.533191800117492676e-01 1.000000000000000000e+00 1.000000000000000000e+00
-1.999999999999992895e-01 -2.430042065680027008e-02 1.705614104866981506e-02 -5.372521118260920048e-04 -6.416301131248474121e-01 1.000000000000000000e+00 1.000000000000000000e+00
-9.999999999999964473e-02 -1.157424878329038620e-02 1.709189079701900482e-02 -3.403316077310591936e-04 -6.281262636184692383e-01 1.000000000000000000e+00 1.000000000000000000e+00
0.000000000000000000e+00 -7.692596568631415721e-07 1.700183376669883728e-02 1.371237061675856239e-07 -6.159368753433227539e-01 1.000000000000000000e+00 1.000000000000000000e+00
1.000000000000014211e-01 1.157586183398962021e-02 1.709190197288990021e-02 3.399993584025651217e-04 -6.281272768974304199e-01 1.000000000000000000e+00 1.000000000000000000e+00
2.000000000000010658e-01 2.430075965821743011e-02 1.705611869692802429e-02 5.372134037315845490e-04 -6.416304111480712891e-01 1.000000000000000000e+00 1.000000000000000000e+00
3.000000000000007105e-01 3.466076031327247620e-02 1.711379736661911011e-02 1.027083024382591248e-03 -6.533188819885253906e-01 1.000000000000000000e+00 1.000000000000000000e+00
4.000000000000003553e-01 4.839447885751724243e-02 1.712806522846221924e-02 1.078492030501365662e-03 -6.679845452308654785e-01 1.000000000000000000e+00 1.000000000000000000e+00
5.000000000000000000e-01 5.755210295319557190e-02 1.715610362589359283e-02 1.734003657475113869e-03 -6.792898774147033691e-01 1.000000000000000000e+00 1.000000000000000000e+00
6.000000000000014211e-01 7.228621840476989746e-02 1.721251569688320160e-02 1.621878938749432564e-03 -6.950545907020568848e-01 1.000000000000000000e+00 1.000000000000000000e+00
7.000000000000010658e-01 8.016975224018096924e-02 1.721897348761558533e-02 2.469714032486081123e-03 -7.059511542320251465e-01 1.000000000000000000e+00 1.000000000000000000e+00
8.000000000000007105e-01 9.587441384792327881e-02 1.730658486485481262e-02 2.181186573579907417e-03 -7.228126525878906250e-01 1.000000000000000000e+00 1.000000000000000000e+00
9.000000000000003553e-01 1.075685992836952209e-01 1.738872937858104706e-02 2.448146464303135872e-03 -7.369040250778198242e-01 1.000000000000000000e+00 1.000000000000000000e+00
1.000000000000000000e+00 1.190846785902976990e-01 1.741044037044048309e-02 2.770902356132864952e-03 -7.512431144714355469e-01 1.000000000000000000e+00 1.000000000000000000e+00
1.100000000000001421e+00 1.332518607378005981e-01 1.753532141447067261e-02 2.625796012580394745e-03 -7.676931619644165039e-01 1.000000000000000000e+00 1.000000000000000000e+00
1.200000000000001066e+00 1.425826847553253174e-01 1.753573678433895111e-02 3.287532366812229156e-03 -7.808849215507507324e-01 1.000000000000000000e+00 1.000000000000000000e+00
1.300000000000000711e+00 1.577210426330566406e-01 1.767180487513542175e-02 2.946733031421899796e-03 -7.986649274826049805e-01 1.000000000000000000e+00 1.000000000000000000e+00
1.400000000000000355e+00 1.732303798198699951e-01 1.776888966560363770e-02 2.590616699308156967e-03 -8.171598315238952637e-01 1.000000000000000000e+00 1.000000000000000000e+00
1.500000000000000000e+00 1.813826709985733032e-01 1.780835725367069244e-02 3.359079826623201370e-03 -8.301246762275695801e-01 1.000000000000000000e+00 1.000000000000000000e+00
1.600000000000001421e+00 1.991616338491439819e-01 1.793072186410427094e-02 2.588568720966577530e-03 -8.510854244232177734e-01 1.000000000000000000e+00 1.000000000000000000e+00
1.700000000000001066e+00 2.134183645248413086e-01 1.805940642952919006e-02 2.300938824191689491e-03 -8.694397807121276855e-01 1.000000000000000000e+00 1.000000000000000000e+00
1.800000000000000711e+00 2.237662225961685181e-01 1.808188296854496002e-02 2.758607501164078712e-03 -8.852062821388244629e-01 1.000000000000000000e+00 1.000000000000000000e+00
1.900000000000000355e+00 2.407376021146774292e-01 1.823626086115837097e-02 1.957194879651069641e-03 -9.064558744430541992e-01 1.000000000000000000e+00 1.000000000000000000e+00
2.000000000000000000e+00 2.574336528778076172e-01 1.834424771368503571e-02 1.272213296033442020e-03 -9.282334446907043457e-01 1.000000000000000000e+00 1.000000000000000000e+00
2.100000000000001421e+00 2.662218213081359863e-01 1.839375495910644531e-02 1.872543711215257645e-03 -9.433516263961791992e-01 1.000000000000000000e+00 1.000000000000000000e+00
2.200000000000001066e+00 2.852579057216644287e-01 1.852719299495220184e-02 7.026194944046437740e-04 -9.679053425788879395e-01 1.000000000000000000e+00 1.000000000000000000e+00
2.300000000000000711e+00 3.024843633174896240e-01 1.864271424710750580e-02 -1.864001242211088538e-04 -9.911901950836181641e-01 1.000000000000000000e+00 1.000000000000000000e+00
2.400000000000000355e+00 3.113918900489807129e-01 1.869042590260505676e-02 3.788445901591330767e-04 -1.007645964622497559e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.500000000000000000e+00 3.314963579177856445e-01 1.880904100835323334e-02 -1.049558864906430244e-03 -1.034609913825988770e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.600000000000001421e+00 3.503886461257934570e-01 1.892791129648685455e-02 -2.373376628383994102e-03 -1.060927510261535645e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.700000000000001066e+00 3.667298853397369385e-01 1.900487206876277924e-02 -3.162713721394538879e-03 -1.085712552070617676e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.800000000000000711e+00 3.801936507225036621e-01 1.907697506248950958e-02 -3.535391995683312416e-03 -1.107757568359375000e+00 1.000000000000000000e+00 1.000000000000000000e+00
2.900000000000000355e+00 4.002912938594818115e-01 1.917531527578830719e-02 -5.103264469653367996e-03 -1.137128353118896484e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.000000000000000000e+00 4.176810979843139648e-01 1.925250701606273651e-02 -6.164998747408390045e-03 -1.164331078529357910e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.100000000000001421e+00 4.293026328086853027e-01 1.931694149971008301e-02 -6.225942168384790421e-03 -1.186148762702941895e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.200000000000001066e+00 4.496713578701019287e-01 1.939387060701847076e-02 -7.841508835554122925e-03 -1.217767000198364258e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.300000000000000711e+00 4.664508402347564697e-01 1.946997083723545074e-02 -8.909499272704124451e-03 -1.245833873748779297e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.400000000000000355e+00 4.787028729915618896e-01 1.953173428773880005e-02 -9.087712503969669342e-03 -1.269779324531555176e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.500000000000000000e+00 4.983087480068206787e-01 1.959517784416675568e-02 -1.066282019019126892e-02 -1.302307844161987305e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.600000000000001421e+00 5.150033235549926758e-01 1.966322585940361023e-02 -1.174175180494785309e-02 -1.332085013389587402e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.700000000000001066e+00 5.285646915435791016e-01 1.972207799553871155e-02 -1.217292807996273041e-02 -1.359211564064025879e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.800000000000000711e+00 5.474546551704406738e-01 1.977621018886566162e-02 -1.371660921722650528e-02 -1.392570495605468750e+00 1.000000000000000000e+00 1.000000000000000000e+00
3.900000000000000355e+00 5.635931491851806641e-01 1.983903162181377411e-02 -1.471452694386243820e-02 -1.423479914665222168e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.000000000000000000e+00 5.787692666053771973e-01 1.989244855940341949e-02 -1.553324237465858459e-02 -1.454035997390747070e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.100000000000001421e+00 5.970773100852966309e-01 1.994197070598602295e-02 -1.700310781598091125e-02 -1.488579988479614258e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.200000000000001066e+00 6.121603846549987793e-01 2.000418491661548615e-02 -1.781924068927764893e-02 -1.520261526107788086e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.300000000000000711e+00 6.296633481979370117e-01 2.003953419625759125e-02 -1.916701160371303558e-02 -1.555121421813964844e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.400000000000000355e+00 6.471967697143554688e-01 2.008219994604587555e-02 -2.052276022732257843e-02 -1.590687990188598633e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.500000000000000000e+00 6.625676751136779785e-01 2.013905160129070282e-02 -2.144287526607513428e-02 -1.624564170837402344e+00 1.000000000000000000e+00 1.000000000000000000e+00
4.600000000000001421e+00 6.812232732772827148e-01 2.015504054725170135e-02 -2.306294627487659454e-02 -1.662529468536376953e+00 1.000000000000000000e+00 1.000000000000000000e+00
